
# Surface 0 of 1 surfaces

# Curve title: "'data.txt'"

# IsoCurve 0, 50 points
# x y z type
1.2000000e+01 1.0000000e+00 7.8000000e+01 i
1.2000000e+01 1.0612245e+00 7.6989136e+01 i
1.2000000e+01 1.1224490e+00 7.5865908e+01 i
1.2000000e+01 1.1836735e+00 7.4683363e+01 i
1.2000000e+01 1.2448980e+00 7.3466647e+01 i
1.2000000e+01 1.3061224e+00 7.2230550e+01 i
1.2000000e+01 1.3673469e+00 7.0984020e+01 i
1.2000000e+01 1.4285714e+00 6.9732245e+01 i
1.2000000e+01 1.4897959e+00 6.8477904e+01 i
1.2000000e+01 1.5510204e+00 6.7222031e+01 i
1.2000000e+01 1.6122449e+00 6.5964701e+01 i
1.2000000e+01 1.6734694e+00 6.4705587e+01 i
1.2000000e+01 1.7346939e+00 6.3444475e+01 i
1.2000000e+01 1.7959184e+00 6.2181750e+01 i
1.2000000e+01 1.8571429e+00 6.0918945e+01 i
1.2000000e+01 1.9183673e+00 5.9659536e+01 i
1.2000000e+01 1.9795918e+00 5.8410885e+01 i
1.2000000e+01 2.0408163e+00 5.7192583e+01 i
1.2000000e+01 2.1020408e+00 5.5998496e+01 i
1.2000000e+01 2.1632653e+00 5.4815186e+01 i
1.2000000e+01 2.2244898e+00 5.3638783e+01 i
1.2000000e+01 2.2857143e+00 5.2468211e+01 i
1.2000000e+01 2.3469388e+00 5.1303823e+01 i
1.2000000e+01 2.4081633e+00 5.0146687e+01 i
1.2000000e+01 2.4693878e+00 4.8998045e+01 i
1.2000000e+01 2.5306122e+00 4.7858821e+01 i
1.2000000e+01 2.5918367e+00 4.6729115e+01 i
1.2000000e+01 2.6530612e+00 4.5607645e+01 i
1.2000000e+01 2.7142857e+00 4.4491095e+01 i
1.2000000e+01 2.7755102e+00 4.3373267e+01 i
1.2000000e+01 2.8367347e+00 4.2243824e+01 i
1.2000000e+01 2.8979592e+00 4.1086037e+01 i
1.2000000e+01 2.9591837e+00 3.9871217e+01 i
1.2000000e+01 3.0204082e+00 3.8527419e+01 i
1.2000000e+01 3.0816327e+00 3.7019685e+01 i
1.2000000e+01 3.1428571e+00 3.5437366e+01 i
1.2000000e+01 3.2040816e+00 3.3814742e+01 i
1.2000000e+01 3.2653061e+00 3.2170293e+01 i
1.2000000e+01 3.3265306e+00 3.0515439e+01 i
